Cautare cursuri dupa ID student in baza de date,2025-05-19 16:44:29
Obtinere cursuri student,2025-05-19 16:44:29
Cautare student dupa ID in baza de date,2025-05-19 16:44:29
Salvare inscriere in baza de date,2025-05-19 16:44:29
Inscriere student la materie,2025-05-19 16:44:29
Cautare student dupa ID in baza de date,2025-05-19 16:44:38
Cautare student dupa ID in baza de date,2025-05-19 16:44:38
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:44:38
Obtinere cursuri student,2025-05-19 16:44:38
Cautare student dupa ID in baza de date,2025-05-19 16:44:38
Calcul medie student,2025-05-19 16:44:38
Initializare baza de date,2025-05-19 16:45:55
Listare toti studentii din baza de date,2025-05-19 16:45:55
Listare toti profesorii din baza de date,2025-05-19 16:45:55
Listare toate materiile din baza de date,2025-05-19 16:45:55
Listare toate salile din baza de date,2025-05-19 16:45:55
Cautare materie dupa cod in baza de date,2025-05-19 16:45:55
Cautare profesor dupa ID in baza de date,2025-05-19 16:45:55
Cautare sala dupa ID in baza de date,2025-05-19 16:45:55
Cautare materie dupa cod in baza de date,2025-05-19 16:45:55
Cautare profesor dupa ID in baza de date,2025-05-19 16:45:55
Cautare sala dupa ID in baza de date,2025-05-19 16:45:55
Cautare materie dupa cod in baza de date,2025-05-19 16:45:55
Cautare profesor dupa ID in baza de date,2025-05-19 16:45:55
Cautare sala dupa ID in baza de date,2025-05-19 16:45:56
Cautare materie dupa cod in baza de date,2025-05-19 16:45:56
Cautare profesor dupa ID in baza de date,2025-05-19 16:45:56
Cautare sala dupa ID in baza de date,2025-05-19 16:45:56
Cautare materie dupa cod in baza de date,2025-05-19 16:45:56
Cautare profesor dupa ID in baza de date,2025-05-19 16:45:56
Cautare sala dupa ID in baza de date,2025-05-19 16:45:56
Cautare materie dupa cod in baza de date,2025-05-19 16:45:56
Cautare profesor dupa ID in baza de date,2025-05-19 16:45:56
Cautare sala dupa ID in baza de date,2025-05-19 16:45:56
Listare toate cursurile din baza de date,2025-05-19 16:45:56
Cautare student dupa ID in baza de date,2025-05-19 16:46:02
Cautare student dupa ID in baza de date,2025-05-19 16:46:02
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:46:02
Obtinere cursuri student,2025-05-19 16:46:02
Cautare student dupa ID in baza de date,2025-05-19 16:46:02
Calcul medie student,2025-05-19 16:46:02
Initializare baza de date,2025-05-19 16:51:26
Listare toti studentii din baza de date,2025-05-19 16:51:26
Listare toti profesorii din baza de date,2025-05-19 16:51:26
Listare toate materiile din baza de date,2025-05-19 16:51:26
Listare toate salile din baza de date,2025-05-19 16:51:26
Cautare materie dupa cod in baza de date,2025-05-19 16:51:26
Cautare profesor dupa ID in baza de date,2025-05-19 16:51:26
Cautare sala dupa ID in baza de date,2025-05-19 16:51:26
Cautare materie dupa cod in baza de date,2025-05-19 16:51:26
Cautare profesor dupa ID in baza de date,2025-05-19 16:51:26
Cautare sala dupa ID in baza de date,2025-05-19 16:51:26
Cautare materie dupa cod in baza de date,2025-05-19 16:51:26
Cautare profesor dupa ID in baza de date,2025-05-19 16:51:26
Cautare sala dupa ID in baza de date,2025-05-19 16:51:26
Cautare materie dupa cod in baza de date,2025-05-19 16:51:26
Cautare profesor dupa ID in baza de date,2025-05-19 16:51:26
Cautare sala dupa ID in baza de date,2025-05-19 16:51:26
Cautare materie dupa cod in baza de date,2025-05-19 16:51:26
Cautare profesor dupa ID in baza de date,2025-05-19 16:51:26
Cautare sala dupa ID in baza de date,2025-05-19 16:51:26
Cautare materie dupa cod in baza de date,2025-05-19 16:51:26
Cautare profesor dupa ID in baza de date,2025-05-19 16:51:26
Cautare sala dupa ID in baza de date,2025-05-19 16:51:26
Listare toate cursurile din baza de date,2025-05-19 16:51:27
Cautare student dupa ID in baza de date,2025-05-19 16:51:55
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:51:55
Verificare conflict orar student,2025-05-19 16:51:55
Cautare student dupa ID in baza de date,2025-05-19 16:51:55
Salvare inscriere in baza de date,2025-05-19 16:51:55
Inscriere student la materie,2025-05-19 16:51:55
Cautare student dupa ID in baza de date,2025-05-19 16:52:06
Cautare cursuri dupa ID student in baza de date,2025-05-19 16:52:06
Obtinere cursuri student,2025-05-19 16:52:06
Initializare baza de date,2025-05-19 16:54:53
Listare toti studentii din baza de date,2025-05-19 16:54:53
Listare toti profesorii din baza de date,2025-05-19 16:54:53
Listare toate materiile din baza de date,2025-05-19 16:54:53
Listare toate salile din baza de date,2025-05-19 16:54:53
Cautare materie dupa cod in baza de date,2025-05-19 16:54:53
Cautare profesor dupa ID in baza de date,2025-05-19 16:54:53
Cautare sala dupa ID in baza de date,2025-05-19 16:54:53
Cautare materie dupa cod in baza de date,2025-05-19 16:54:53
Cautare profesor dupa ID in baza de date,2025-05-19 16:54:53
Cautare sala dupa ID in baza de date,2025-05-19 16:54:53
Cautare materie dupa cod in baza de date,2025-05-19 16:54:53
Cautare profesor dupa ID in baza de date,2025-05-19 16:54:53
Cautare sala dupa ID in baza de date,2025-05-19 16:54:53
Cautare materie dupa cod in baza de date,2025-05-19 16:54:53
Cautare profesor dupa ID in baza de date,2025-05-19 16:54:53
Cautare sala dupa ID in baza de date,2025-05-19 16:54:53
Cautare materie dupa cod in baza de date,2025-05-19 16:54:53
